BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
2-stearoyl-GPE (18:0)*,Lysolipid,1947089.88,1911027,1833006,2424177.25,3132553,2131424,2120657,3569093,1055007,1742717,1758996,1836374,1510521.88,1340541,3019959,3290148,2177609,912861,2033353,2506537,2166736,2256870,3004970.25,1347922,3788057,2527775,2953941,3460278,2121849,1368330,3046906,1794649,3107303,2349115,3327180,2985795,1939045.13,2361448,3062337,3042087,2930208,2126140,2564695,3809922,2312801,2540897,1955802,1281443,2309533,1431367,2334246,,2041800,1998581,2888399,2474040
1-oleoyl-GPE (18:1),Lysolipid,4463676,2631389,2022948,2898137.75,2486110,2449724.75,900938,1717505,716536,4186931,2873612,2641288,1662388,921652,2631502,2078805,3045729,870154,1668451,4228546,2864417,1263643,1737959,1019786,1373110,1119015,3513292,3308340,2046526,1154319.88,1868540,1991618,4803284,1388570,2803020,1557992,1529796,2755380,5546949,2372388,1898803,3740068,1100069,3683335,2972396,2331711,2090572,1494042,1854146,981384,4076768,934258,2615389,1788086,1949629,2343581
1-linoleoyl-GPE (18:2)*,Lysolipid,7456384,6897381,4207759,5657772,4526037,5482681,3008765,4789636,1487970,7690581,5367195,5900191,4049788,2753196,4315311,4345957,4101267,1868540,3187194,6397062,1438416,5349168,2621670,2237622,2706862,1933179,8052115,6888155,3500424,1958895,3712202,2093184,6795722,1873772,7478437,2760758,3524736,7050519,2869838,7338728,2322626,9077937,1907127,5993008,6809515,5119333,4280950,2669336,2534788,1954876,5591646,1996388,6606975,4308319,3303158,7981138
1-arachidonoyl-GPE* (20:4)*,Lysolipid,4368112,4863955,3566558,4384112,5114211,4051755,2492360,3278992,1522596,4524454,4218861,3525284,3326210,3325929,5212719,4835439,4837069,3572293,2888891,4316305,3902253,2857993,4781766,3260940,3480304,2784060,6608390,4967681,4995418,3572848,2534148,1772906,4733728,5064776,4383540,2399660,3908661,4305452,4162077.25,3481911,4466724,2737882,2915379,5047552,4378168,6152677,4234236,3310600,2694044,1709671,4353653,2402324,5034030,2412300,3580916,4113283.75
1-palmitoyl-GPI* (16:0)*,Lysolipid,812106,734046,929815.94,2140302,1902102,726626,688902,2772465,959823.94,882481,286878,597695,900656.06,1475027,1510888,1562424,3037167,520265.03,1770576.88,927142,1701966.13,1002319.06,2326298,2388213,3545498,1071394,1996282,3077704,2121716,851024,3930026.25,2836143,3090160,1299624,1994206,2034031,870167,2468724,2505488,2025860.13,1259574,1008241,1720791,5393116,1050063,432839,1923783.88,977329.94,2991548,1477639,662161,3539445,1588259,1476680,1488691,1714217.13
1-stearoyl-GPI (18:0),Lysolipid,3320769,4690707,8466004,11004569,11538759,6061064,6243901,19337806,5000565,4442131,2634220,5602244,7159144,12472460,12371044,12093447,10049161,6535825,9857721,8559793,7923348,9354393,11707845,17825800,25900728,10652824,11268453,16729060,8781335,5342344,24033386,7404091,15642871,7809040,11643815,16327950,8351057,13232017,13393864,12682042,7446988,5650469,20038720,13574521,7314923.5,3957033.25,8336342,4995591,18793288,3882393.75,4253389,28686432,8236493,10894902,19037196,9017937
1-linoleoyl-GPI* (18:2)*,Lysolipid,2655122,3413882,2397906,4359337,4035285,2089402,2245063,6394363,1933592.88,3166247,1667578,3002733,3082227,4281002,5335098,2936033,4215160,2211670,3328153,3383191,1095912,4400664,3246783,3672221,6333888,2018506,4082273.75,5809889,3189124,1554570,7595698.5,4775401,4197396,2293572,8233324,4598705,2732322,7954195,1555749,6329466,2076818,4282957,4359694,3561996,4957541,1575187,3402783,1434458,3973795,1709134,2232320,6256478,5465991,4181225,5002178,4360890
1-arachidonoyl-GPI* (20:4)*,Lysolipid,5955011.5,8355331,8150565.5,13191480,13711926,6781217,5638747,14607297,6174161,7809644,4823710,7750278,8563078,9930275,17689776,8690501,13256847,5761802,10522143,8764662,9037948,8520368,15628424,15142028,19532550,8588607,15435683,18778336,13385369,7885389.5,15470638,7368133,15992399,11278844,10513277,13608030,9206178,16195862,13279288,12583961,10995611,5970958,13098182,11900293,10837495,6048350,9370083,6268011.5,12485586,4934099,6204602,20607544,10009725,9270966,11063327,9966453
1-stearoyl-GPS (18:0)*,Lysolipid,1501128,2759640,2359150,4251369,4185441,1893007.88,1851340,5340438,1242401,847468,2142493,2725147,2697399,5671072,6133753,2793053,2212260,3257347,2830186,5412779,3464206,3277313,5613816,5894776,4876264,3258152,6364488,10382484,3422354,2308001,4738546,2370273,7125379,3991761.25,4976631,5013084,3334806,6936490,5865397,4620833,3000670,2774827,4720696,3917881,3284336,4101719.25,2961152,2156485,6065311,1068789,2356357,12409877,4585159,4734217,7022346,3705784
1-oleoyl-GPS (18:1),Lysolipid,583604,895330,672389,3105206,2099749,804288,791160,2063008,348591,582325,380190,2264655,1565401,2310765,4247679,779364,2256715,852379,1720493,3257433,2110219,1212660,4468609,2220863,3562969,772969,3795851,7513957,1827247,815691,3190251,1990347,5631026,2035760,2957241,3048327,1753479,5041160,2987956,1986911,1658618,1838283.13,2945813,1895509,1899368,1387640,2148128,1153811,3893710,791483,1254584,8010551,2052957,2364966,2747388,2027414
