BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
glycine,"Glycine, Serine and Threonine Metabolism",157426624,136353200,184017952,156243552,146333840,189559488,227295696,162591136,83175744,164538336,163642640,179784784,133466568,173282304,163208256,160182224,138135232,131463936,137371856,284293984,137451488,194067504,181018112,157952928,184509408,161448576,159059264,178340768,132927280,107610096,156424944,113636256,167843088,137441536,206462608,137986048,167106672,172199264,163468736,258214096,204762736,265211696,194394752,200309216,175482256,154816816,134354400,143661136,119728600,74633984,202600528,164229920,186361264,172355136,171487552,165955280
N-acetylglycine,"Glycine, Serine and Threonine Metabolism",541680,787402,1028813,1081329,876746,1820152.88,776833,988777.06,563642,959793,485764,558165,439647,1079647,929491.06,736375,342931,983173,458868,688487,4820405,559796,1194958,754506,694306,2471424,1767412,475073,385528,2332863,740479,824586,624002,695943,556230,530641,2334949,476504,5058227,841294.06,1831670,735218,1660120,894025.94,1358964,332086,478880,834182.94,707623,454450.97,825159,1191554,451512,566948,869780,511492
sarcosine,"Glycine, Serine and Threonine Metabolism",52171488,46425820,43966160,5381919,27678768,52351192,43436188,42633384,31511644,31316082,44452680,49286340,38473256,35791724,43691488,45605120,33715576,42438308,45034048,42648064,4589223,4426613,7123448,6873672,4998091,36763480,6396888.5,6334396,43850748,38331232,47680792,33696932,4075057.75,6171621.5,4902457,43390920,5904086,5710609,35854920,41552264,42687704,41828660,42925008,42847836,45178336,42291352,42240264,32953168,42423928,24012470,46323244,34606724,37462888,41203464,39443952,37517568
dimethylglycine,"Glycine, Serine and Threonine Metabolism",38372116,37702232,26761364,25896456,31781058,40948420,32341444,41216120,39176992,30676416,39668816,41465976,34598648,27734656,71857040,23322436,17334332,47133928,40176624,24436080,25277556,28868504,29480406,30240444,23409468,29206932,87486032,45280148,29207996,65254536,35196720,19651236,20099960,20072892,33529490,36575408,29416380,43717976,18321798,31229806,29007594,30835314,30182312,32137172,141706768,30818860,20312036,40015856,34144872,20868168,26856804,20066060,23074288,31101390,22657320,33370814
betaine,"Glycine, Serine and Threonine Metabolism",617428864,799328448,691110848,651006912,558096576,662381248,609615168,611406464,429311776,826064768,663158976,657334848,650629632,532258688,687404800,559145664,547298560,620021184,687730112,619940544,567627456,729580224,541750528,592675520,485760608,773675456,522553696,842158976,612394432,499038528,814759104,496802976,546040896,459675712,643173504,570760576,591140032,620770176,529879744,750136384,547453120,776597056,546670784,733622080,606434112,806514560,501278944,594616512,541326528,363461056,581229696,443174080,621557824,703296768,471956896,701320448
serine,"Glycine, Serine and Threonine Metabolism",152983168,175237872,138220928,101709856,120632208,195152160,140483712,143189760,104560808,142990304,203858832,171640880,154881088,148646240,152991632,131517784,123752264,146284656,124042928,208597712,156039456,186052432,161814944,170216960,169794560,157776000,198782464,164979184,160208256,127221520,158027088,95422648,126600392,164993488,168353408,179509376,201346448,164000912,146353328,214724992,163851584,229529840,181051392,138014896,223611552,143683200,155556192,121362080,144844752,75111464,144228672,169230992,146650016,172145248,154044864,131412936
threonine,"Glycine, Serine and Threonine Metabolism",521483584,409622944,365579616,570262528,543426624,644414528,350479264,343578016,248811168,307569600,532453920,460657536,431896192,409228224,440244640,407239744,347183264,278299968,355617856,495015232,227817056,364023296,419347712,298543168,373360384,365505888,276476064,468492096,427902400,228896336,295302528,349875712,351597856,343661952,562173376,492433216,430539200,429671072,319027232,353606144,471629440,407263744,453365600,353447360,417944352,417111520,403463232,305867616,357686144,220571504,414623744,305897216,473190752,476556640,449512608,475980832
2-methylserine,"Glycine, Serine and Threonine Metabolism",25100820,30222472,26670268,3417291,17996146,27885360,16404318,19697924,16262671,15494428,20065318,24004678,24246544,12683413,20207868,20510190,14661880,15190175,16731283,16865944,3106955,3071333,2934144,2534186,4079320,19542874,3578734,13257871,25993268,22110284,23134016,21845784,4337050,3258433,4970775,19353840,9923867,6385186,15132006,17027788,16210764,20559208,12943467,12196079,16356072,17346852,18742792,14936826,17430088,13803761,16394639,20059792,19526768,16618326,23949036,20040944
alanine,Alanine and Aspartate Metabolism,937152960,452498880,481672576,442061024,636486912,572465536,381746272,389863520,359884352,372598656,481654624,482709536,537477248,438892864,448921792,456968992,415628256,419638528,482064416,669623232,368566560,624691328,643523648,356303968,519665280,475870784,501738432,742877184,674583232,355146144,462778272,557747264,634271168,532912096,652802752,578789120,350587040,558647040,374559840,715964288,588001024,653311552,396167776,814647296,380896928,496863104,675515584,432264544,414640320,395553888,736449920,481660480,597584256,680949056,455925664,644851008
N-acetylalanine,Alanine and Aspartate Metabolism,1118932,1083034,1209571,1195114,1113879,1267108,873616,964068,683858,773596,1400627,1052961,1015855.06,1174198,1151505,916212,723774,1185215,855647,875836,909108,1164490,820120,1140179,932980,973381,1090960,1090225,750579,1001247,1099961,1088926,829965,743980,852754,1015739,826454,1115372,1012056,1112094,899235,1019625,1073336,1272235,870767,880070,926886,776750,1036939.06,696563,996779,735907,1158140,1074836,1282030,905182
aspartate,Alanine and Aspartate Metabolism,38284520,21589036,18716664,20799516,42559616,13727793,25563562,20477580,10593669,16422838,22755808,15372680,24503884,24125752,21270102,25061040,26241226,16122666,19026100,68345216,17321144,25943820,48071432,10457778,45550764,18417788,27454710,65667488,37242780,14614306,16991420,14090033,53104668,24845652,82726704,29463626,17368228,31644914,15647505,50878896,31909592,32232180,28947046,48971312,24222018,30508524,46545684,21286558,28143784,10571783,47501400,31437056,97317560,46355136,21848622,32016634
asparagine,Alanine and Aspartate Metabolism,175637568,169922352,167614272,193032592,180005520,200163232,155408384,154442768,118049808,149785840,174874816,161427040,150476208,195671824,179294112,165742832,159153840,153785776,161519728,174184896,116312080,200250576,192440768,152254592,125335480,141618384,138203728,154812384,131390440,112564712,166662624,168794176,146292672,191581008,191432288,177246800,157849312,180031344,124931072,180505264,210054000,187171632,140401328,146878720,149689824,145757408,139224496,152487088,141882864,103233832,177360640,196226816,187407712,165865392,177807488,191913712
N-acetylaspartate (NAA),Alanine and Aspartate Metabolism,17386004,22713524,23202728,21878624,26068008,20377964,29787502,30373940,24086808,19850262,21071588,22753360,23069780,24175584,25546250,22697680,19415298,27580598,20659362,25401834,20942648,26555918,19715510,20175692,25331868,25682552,24355254,23480918,16886882,22831262,23711708,24071396,22217796,23651482,27339094,20761224,24292924,25530832,22918572,28405840,19126828,25391090,23303190,30165614,22891348,18900396,18197652,21428516,23373970,17146700,21064388,21494554,32429732,22099196,26149328,24596008
glutamate,Glutamate Metabolism,446782048,394720416,326956640,406307776,475610816,309788928,321212384,345934848,246717104,299634432,439156224,330580864,431619328,495538304,502357088,315352416,424429248,433803072,328946560,539303296,418240512,363384064,694631808,404748352,544783744,256434016,572957248,569689856,634550080,373773920,347142208,395880800,463482368,501280672,455833536,433039360,721206016,440807584,401291968,488328928,673831488,308549248,348932864,421323232,450330208,539130240,618954752,287966080,371940160,265829728,440178944,428699808,451487680,459947680,411184288,410126528
glutamine,Glutamate Metabolism,2421985024,2534607872,2645504512,2761480704,2478451200,2688142336,2053282432,2471475968,1349568128,2296325888,2375982336,2319216896,2286164736,2714098176,2301612032,2556154368,2105457664,2115222784,2399599872,3077008896,1662957440,3088840448,2576493824,2086178432,2248237312,2017383552,2211023104,2480393728,2712270848,1767962496,2787378176,2323684864,2254271232,2023888512,2169018624,2276720128,2300539904,2684374272,1868252288,3143520000,2785174784,2675518976,2520709632,2556824576,2099621504,2455453952,2507855872,1836968704,2186554880,1219386240,2591663616,2125662720,2143501824,2581125120,2372558592,2948213504
N-acetylglutamate,Glutamate Metabolism,1208234,689503,653751,882647.94,999191,734247,925784,960118,485389.03,738280,802167,1090294,692620,632242,1319681,537177,516426,727379,580663,746555,835889.94,1020225,832666,958955.94,851220,630396,1436992,824749,721671,1634412,1017806.94,988033.94,579681,634761,843287.94,561221,869293,869812.06,983138.94,930058,843926.94,933261.06,705819,926382,1222475,705968,742925,656770,993313.94,387323,587832,753889,945160,828501,781454,969854
N-acetylglutamine,Glutamate Metabolism,101198,87875,63848,143230,134510,164234,60386,125072,43422,85363,92792,71142,77200,53909,163395,111416.01,57713,102509,63243,141385,63231,118542.99,176926,93838,140675,73269,170599,105777,93466,62394,133134,113384,85081,110661,78037,44312,100416,142752,70826,96435,188382,105111.01,102178,110641,122253.01,88357,123617.99,70148,117259.01,35540,84864,118832,86667,70273,148560,177400
N-acetyl-aspartyl-glutamate (NAAG),Glutamate Metabolism,675294,2359851,325696,318183,522143.03,502336.03,728833,1335307,897089,429816,577805,723725.94,866831,2335544,1290333,719586.94,874269.06,924701,638783,828071,689672,1394111,691471,3291492,4694696,405788,631160,1029197,831518,695262,1110595,499497,552634,104690.99,511697,1686418.13,1432559,397960.97,615321,508119,618222,1194375,995139.94,158989,424281,505359,649174,615124,819688.06,692277,993584.94,761315,606876,2037657,652901,802578
pyroglutamine*,Glutamate Metabolism,137917984,38535008,37990428,63306172,38844968,162674784,82001200,51104168,23480936,46795020,51466568,76464328,26715992,38437588,27225226,46998796,32883852,30311462,44174108,39194928,18112816,32899224,102624232,46547548,69441360,127978816,44889364,64466688,42891792,21065264,64511988,23918742,148597008,27569680,31661556,27156858,52700676,44616824,14659705,27791810,73968904,53264956,58657988,68931120,51046592,35782300,35908728,20700804,36135024,15236462,197203968,21614652,33361774,32341132,49380864,51556396
beta-citrylglutamate,Glutamate Metabolism,1362267,3174085,2558845,2909879,1616628,1031514.94,1601313,2137977,1111273,2329713,1760536,1699230,1853050,2585796,2022636,1343440,1412605,1361920,1445932,2361390,2318485,2109613,1755152,1373020,1978466,1494162,3974361,2142579,2238012,1641967,1196766,1571405,2321446,1971276,2359174,1214137,1700099,1880088,3482154,1898537,1356871,1060961,1718896,2050908,2135360,2456585,1995935.88,1207642,1155521,852090,2552742,1653180,3342359,1133291,1660362,1589949
gamma-carboxyglutamate,Glutamate Metabolism,486292,508347.03,605535,656996,679424,510110,428891,474869,312421,465736,537450,569106,396247,515746,435996,471848,334101,479986,484325,480176,336433,645238,563840,552990,530161,408186,615439,590075,393657,476630,483181.03,489256.97,389985,459586,514481.03,424805,497913,559689,463475,456082,495463,434355,516972,541430,369236,640973,414324,369838,460771,239814,418632,344080,601448,382340,442265,505464
S-1-pyrroline-5-carboxylate,Glutamate Metabolism,2871505,1521997,1617909,1315110,1554313,1696176.13,4485136,3339989,1005084.94,3012451,2162221,1309760,1790671.88,2228613,2221894,2208815,2443286,1782115,2304492,1937798,1069658,1358801,1590836,479017.97,2532099,1305983,1066405,3961773.25,1520272,736018,3210309,1544821,1878376.13,1247238,1929630.88,1480072,1285175,1721053.13,1230057,2185099,1434001,3324731,2515166,1056094,1642982,2599269,1470000,1247669,2620861,805317,2025590,1171794,1531597,2203683,1359658,1297162
histidine,Histidine Metabolism,35061716,43250276,41004672,39100024,41815816,49714504,38205048,43552052,34000280,32134076,42521988,37808896,42576232,44306240,38358696,43084412,45910944,38538108,43927748,49334984,19013928,46710488,32664350,36246008,36649256,35021480,33721680,43842036,45524352,32591924,42286620,36527076,43404748,36089808,38146528,45060024,36874004,37625108,27846080,43552052,35543664,46447336,35871904,33514064,38519356,40073832,46954340,39726072,44735068,30852100,45157644,35057064,42458616,47613036,39217732,41397816
1-methylhistidine,Histidine Metabolism,33628660,52774608,69456704,68828280,71015696,84330344,40519684,41938048,31849944,27444772,64180892,61155224,47043464,55833724,54215776,31978848,38130636,67903232,58169724,35835848,67201768,25260632,54328492,44417904,37984176,51939608,52830504,49910284,39299668,71336944,20503904,74210112,53471380,53499456,71616392,47091132,48020008,47227740,86628896,20713248,49415740,29005550,35017924,49804840,60360792,39402220,30730960,68327944,59130516,54692020,55727492,54149292,41473984,46910252,60635520,42282512
3-methylhistidine,Histidine Metabolism,638868,6719636,3397000,11533914,2241105,14892639,1954842.88,627966,1848558,1243534,13608241,4663344,792478,1067453,5398254,578537,3587583,9878180,8289138.5,651098,1584725,55520,492992.03,532010,354582,725974,417360,1776591,3059958,2403529,150109,7004204,1051878,5694171,14018934,4241943,4023898.75,10012728,3297675,69937,201025,2110402,507062.97,547351,528421,1377281,1246668,3548526,841642,6790968,9305048,2048578.13,6755223,515772.97,1187946,8741652
trans-urocanate,Histidine Metabolism,4619024,5845766,8964021,7202566.5,17970608,3875391.25,6585781,6541653,10555902,5552543,3748525,8397737,7593464.5,6769253,2983064,7898983,5603429,5318583,7564682.5,8685164,10949011,9839101,9039190,5183851,7940777.5,10018601,10077566,6200180,9149592,7104152,5286716,7993110.5,4719915,10979223,12010313,10105212,1951950.88,7149394,4875788,13011467,6940982,11167688,5658904,7220050,14423277,6403040,7098832,9305891,11105464,6747670,6538791,4506622,19931600,8643774,7371529,13973570
imidazole propionate,Histidine Metabolism,568803,430085,547910,431943,1070060,564686,620768,921638.06,279492,387455,466254,410448,434181,252473.02,599256,225019,3055663,309015,437472,186635,280488,1145955,390534,332450,408415,220693,1352677,847864,2825224,262999,1742991,984488,428338,181380,454762,245406.98,323982,960706,423876,365812,362886,624729,249439,835995,615777,697095,1336397,329584,1525006,191140,451514,237706.98,637119,209835,195140,1437994
imidazole lactate,Histidine Metabolism,3220055.75,3249829,3236420,5192273,2582524,4126543,3788783,3072130,2276883,3659625.75,2538458,4462485,2859591,2431452,3043949,3613666.25,3694998,2552579,4058523.75,2197186,1782208,2673519,5313200,1762139.13,2248357,4703947,2804806,3286107.75,2837892,3009739,2078937,3122532.25,4742989,2137193,4901512,2549439,3549832,2827434,1759485,2240108,4844048,1978218.13,1664971.88,4002780,2599687,2912684,3222237,2099391,2040734,2634026,5098836,1397757,4344101,2685742,3538838.25,3112701
1-methylimidazoleacetate,Histidine Metabolism,1993719,2567773,1828024,2018165,2828598,2568809,2131454,2515854,1921966,2000577.88,2935511,2075857,2737672,2524152,3010327,1320112,1674130,2365555,1615143,1618621,1717842,1870950,2210279,1832656,1590980,1814538,2325211,1811860,1488671,1567383,1968281.88,1438855,1451371,1518432,2259009,1102239,2045321,2130480,1814728,2035645.88,1914939,2050882,1379046,1944014.13,1933532,1726206,1931077,1362190,2604402,1383339,1947348.88,1362376,2310867,1479760,2247583,1921610
lysine,Lysine Metabolism,732801024,822929920,741545216,792361024,933280128,1085905152,532459456,596381184,428516000,555167488,738957056,617724480,694756992,710992384,527489088,775722112,827557632,635604416,760393024,531548832,655646656,688225728,914821632,598592320,618856320,625277760,605714240,764677568,962878656,589014080,617351936,754623232,790310208,808708352,790487744,908168384,668420992,773446656,768994880,510073664,904480448,491810656,647357568,475603328,714170304,704780736,857089664,706937728,807877824,470508224,879583808,789090816,706279232,767697472,709478912,996439488
"N6,N6,N6-trimethyllysine",Lysine Metabolism,44233376,51688028,28674514,42477384,45034812,62634184,34429512,43509852,20860572,32109904,44568756,38082176,28487840,34327700,43512392,35257680,22965848,38414504,34853164,33616024,43016088,34407800,53415232,26547164,27674848,46029144,28275452,30132708,31480172,68682704,35631184,30943344,44317796,36108248,35383160,38006428,31015420,36426172,102726896,37984308,53840068,35324616,28525720,56682544,42064724,26540710,23722750,30858568,82223992,16673778,67352480,30965720,30611714,41014988,35752776,40265344
5-hydroxylysine,Lysine Metabolism,1632927,3282031,2786351,3149291,4507074,2991025,1718478,1386786,1270424,1524887,2337283,2472229,1722528,2050822,1739494,2546435,1970958,1933392,1863369,2325280,1795686,1583662,1671021,2115182,2224855,2499852,1638412,1977166,2184890,1453573,2006937,1916199,1072188,2342281,2098861,1573359,2128167,2797849,6398343,1761473,1506078,3327311,1650011,2624167,2088533.88,2027467,1977793,1360931,3935886,1454792,1152373,1938873,2095980,1216716,1975649,3039102
glutarate (pentanedioate),Lysine Metabolism,296059,427415,769079,1090112,1561462,921100,447478,227576,426333,573390,341598,442584,628009,698541,1007849,220499,435641,1842141,422546,317231,475514,1388115,353955,1063078,563060,431358,1064399,468475,812910,572568,276908,177983,310714,394758,611679,470578,418687,657799,390769,532186,496465,927102,462471,1567612,949516,1157317,1391705,227305,2357093,399270,897673,430629,1190999,424090,473402,430078
glutaroylcarnitine (C5),Lysine Metabolism,2973777.75,2431212,3085929,3284423,4203796,4381001,2323543,1880802,1082460,1316617,3152765,3393201,1970659,5428436.5,3014123,2868043,2494015,3826126,3032044,2276095,2916627,1018360.94,2599623,1501608,2815966,3132106,4344183,2875026,1912377.13,1699266.13,2175652,3455302,3042993,2612479,2984638,2801847.75,2706284,1455498,3227949,764116.94,2717147,1661011,3930415,2954131,4548315,4702282,2027859.88,1129860,2226799,2177475,3668399,2615488,2177115,2684635,3232677.25,1404172.13
3-methylglutarylcarnitine (2),Lysine Metabolism,1071308,307038,1202059,960958,1395289,939184,837706,823619,317082,865444.94,174082,391373,1366198,3078051,840330,852873,786364,669652,895532.06,2497331,2315798,280537,993846,578175,1583380,776436,763920,2059751.13,306660,846202.06,829236,1678488,760398,1437603,1215386,468460.03,678558,852742,2048733.88,172398,1127726,507937,753287,519133,878158,1174807,261491,824374,666775,546864,779748,1190153,1175661,428217,1019847.94,693821
pipecolate,Lysine Metabolism,40302924,28809436,20424364,29202866,76758824,54823660,95306664,22311306,12507812,25393514,19973016,138860960,17286380,16854202,13417451,22960798,26155888,25738136,33075450,16244691,26130424,132300784,30672534,15191128,22354200,18489582,36714552,11924558,27405918,24421740,36099620,43856656,37887928,67934776,20757802,26314072,16928954,20121344,33973104,67947248,16843276,21247312,20078092,12365751,66071516,20633424,28419082,23658566,25420870,22654744,48557212,40460812,15760042,23397124,26612916,36743152
5-(galactosylhydroxy)-L-lysine,Lysine Metabolism,635440,1006395,1341739,1522193.13,1319805,1156229,675079,701022,372374,621592,1165555,1251623,601332,943164.06,854583,886300,607379,828503,1009278,684685,575430,825975,575964,665918,741699,742753,843527.06,716993,771935,625597,902862.94,731054,450736,767250,1065271,604086,668856,1157855,856207,782683.94,765211,676870,747020,856085.94,721899,623594,786468,533164,788212,402939,559521,633069,925390.06,617582,730260,1277998
phenylalanine,Phenylalanine and Tyrosine Metabolism,1099030912,899703360,797486272,902663168,1065061504,1060085440,918538240,903751680,596854336,729971200,817848192,862270208,742177408,786212672,836904832,897186304,739239872,820738432,879138816,771145728,817226176,926234880,903493568,848312384,791707072,647251264,603356032,777834432,873353920,776854912,758489920,784629120,781062592,1005298560,832247744,962547840,934753280,691105280,698028736,827179776,1010077312,1012688768,873092608,736450624,671867904,657269312,900035136,695629632,869224640,538346496,820198016,870817216,887813632,1087542912,989945600,756806464
phenylacetylglutamine,Phenylalanine and Tyrosine Metabolism,12722342,35157064,11740954,46441968,16289320,50692088,31028794,64298864,26649948,3133989,53955012,25070552,36746832,28116264,51141684,13425018,75168512,66509080,47230428,17099824,21383202,47386336,24261852,83642176,35646680,31619716,25826620,3910875,31351536,45218092,11141311,23846860,35252720,48190880,17039930,14944425,19006338,41498456,32641926,41528640,29823524,50870956,46805912,39927080,22654692,24253220,39897756,38501312,71903584,10085585,29791724,29292600,30718504,17088996,30591032,9476239
tyrosine,Phenylalanine and Tyrosine Metabolism,472402752,315945856,295245056,303918784,435654432,350926944,272686624,325645888,182913840,234652624,270866464,290415136,283500256,276166720,236034304,308541472,304046464,225266432,283406784,284400864,168476480,381976000,304302944,246288448,300123424,186082864,204807680,296033216,376409120,255590512,239273968,318173920,259863440,273540480,298910880,370373664,246937584,263857024,202198608,344814112,345463008,408236288,408615424,228449232,229120624,288263360,422370848,323549824,278395552,220625184,272320448,261804832,329244032,414730336,271818048,292501184
4-hydroxyphenylpyruvate,Phenylalanine and Tyrosine Metabolism,294245,203699,217177,254376.98,288691,229810.98,223713.98,469753,241670.02,124314.99,253621,217020,174036,240616.98,211711,236508,280999,228421,167411,178830,125088.01,284090,191879,200035,236513.02,155620,176458,220595,170092,284339,208969,291722,210145,175707,220802,273510,176474,235505,165086,264863,217880,281524,249122,189254,198652,150831,293927,217933,296810,126665.99,243768.02,173728,288148,238848.98,205911,198705
3-(4-hydroxyphenyl)lactate (HPLA),Phenylalanine and Tyrosine Metabolism,7338479,3519133,4561169,4490110,5029996,6334004,3888628,5744674,1895103,3320215,5395896,5812541,3484649,4450410,3609696,3903590.25,2558218,3455020,3404639,3620728,2257597,4918695,3355261,3287706,3017500,3146103,3229448,4890343,4058226,3950163,2823505,4352240,3793331,2500219,4956764,5778103,2587567,3625332,3116170,3784978,5094005,2716997,5186260,4227870,3148606,4969984,5270743,2853384,3336848,1876487,4185797,2883327,5662590,5661691,3343289,4273708
phenol sulfate,Phenylalanine and Tyrosine Metabolism,13434519,19357792,17515226,12584657,16792122,14914827,10553366,21445458,12123643,22094300,12768485,8664364,17999284,22574174,9945050,9923122,27294580,18381004,12128168,22010456,23737032,76847952,48609844,79478448,15835874,13393766,18568580,13889459,122202416,9511372,25788560,12497979,16352664,13884280,4616570,11292444,28527488,9083883,12421869,12876691,24241484,95453392,12756833,10718328,15327165,12334279,52850700,8533762,13952210,10570227,14476665,15100017,8921606,17135998,14411091,10190690
p-cresol sulfate,Phenylalanine and Tyrosine Metabolism,62778596,201207440,69324936,128038824,65254168,145109152,153453712,385022144,128130608,51015748,272286176,105004240,170803952,159914976,233664224,95087144,206880992,184517856,197100928,83709584,104963448,141279376,141793840,394743936,210533264,191030976,149908592,5901926.5,45891796,228513616,75312648,73436320,193159904,265422848,79339928,82937688,13456111,220820224,133570368,191940384,153381712,191543680,208599280,311471648,58330392,88785312,176141888,181423568,163429136,66020520,158808576,165041056,115785688,89036832,131239888,3441483
vanillylmandelate (VMA),Phenylalanine and Tyrosine Metabolism,103949,130002,160028,173729,128155,126892,204668,185372,115644,186637,182511.02,151983,131323,162239,201493,91050,125978,179678,89650,155611,145251,220234,43125,123998,106752,109044,199316,148908,80556,126402,144933,136974,150065,140242,206445,70685,102361,148741,147370,173960,74582,138264,148049,172223,177287,122985,97251,114715,149815,86759,105473,115613,235298,73676,140526,97639
3-methoxytyrosine,Phenylalanine and Tyrosine Metabolism,724214,712215.06,1164092,836799,782040,694717,721625,1010322,412642.97,898255,903635,777892,700522.94,978431,808331,483277.03,536960,766270,606552,742669,635875,1411864,686911,1006766.94,1027022.06,577641,826471,674254,725529,570201,654124,611226,649034,547113,1091423,472776,890964,605770,666591,1140702,709325,906956,1035802,516896,575026,729636,663549,564807,466141.03,331841,575343,538664,957053,593752,825886,509867
gentisate,Phenylalanine and Tyrosine Metabolism,477085,1234983,188577,266671,471197,493976,779896,1064485,280796,785963,202202,181421,855033,561902,171759,507662,787639,709802,698604,1338602,179119,4531422,1284133,359973,1286263,479658,102959,72543,152313,180485,768022,997132,874593,1408443,500701,779724,331952,751534,224743,3814959,261201,433778,590398,324415,,159831,147958,555217,528522,1281839,622164,1271540,285595,415593,875447,292206
thyroxine,Phenylalanine and Tyrosine Metabolism,302408,393161.03,268112,205970,385852,313929,399563,563581,300565,377577.97,463531,413978.03,239280,268624,481205,282458,208038,358996,401907,400175,382956.03,426165,288270,349888,379943.03,254323,488753,569181,366325,432083,452182,368154,368774.97,373414,402396.97,227820,441520,375407,281937,442635,345234,358603,341824,282138,441173,614204,349784,246092,550510,152382,313779,539221,403077,312343,405078,358155
5-bromotryptophan,Phenylalanine and Tyrosine Metabolism,388446.03,391344,468060,401011,411718,417941,237864,226595,210824,317015,459123,219226,221085,297870,297836,269063,259801,288413,403948,436426,213572,542139,573534,177029,285667,399986,319121,383019,478117.03,270929,457564,236023,380433.03,343884,385562.97,401842.03,421474,317996,330529,484491,488716.97,349077.97,307412,396171,294127,373402,394882,250473,253753,199341.02,322509,463238,428642,441974.03,430620,331240
tryptophan,Tryptophan Metabolism,475560864,473095552,390109760,496570848,444176672,571350400,412644192,320380384,274380544,350239008,383770816,243330864,331347520,339436320,279463456,575098304,349109728,329097632,432927296,359788928,351819136,446164160,482768640,207452128,364351232,343858080,302047328,407010336,488097728,328308384,449157440,302660544,435148032,419752192,332609536,454648800,370643552,379552832,459388512,497805408,539712256,366225728,425534432,489749088,359911456,345548256,456272416,341893056,433654272,298560704,483950496,338527360,410974880,458505440,409817504,439303648
indolelactate,Tryptophan Metabolism,4139071.75,2599233,1939118,4239928,2780129,3141001,3399505.75,3028248,1644480,3442647.25,3848830,3753412,1549134,1714612,1925877,2825810.75,2567251,2100700,3334590,2597274,2359461,2426236,3261107,1604812,2044166,2058902,2376986,2924825,2590829,2618846,1990057.13,3253987.75,2251582,2260683,2555058,3073410.75,1962672,2219826,3676801,2317064,2693682,1394047.13,2054873,3199966,2215804,2165192,2437334,1793482,2258495,2098627,2495924,1875852.13,3784422,2969719,2337820,7164778
indoleacetate,Tryptophan Metabolism,1094255,1731899,987579,779649,1464552,2026280,976390,1413145,1014897,1124436,1574481,1218714,948184,1431146,1031556,1120871,984429,2101122,636340,809877,820858,2859741,1651166,2073481,1159314,1222109,1172952,1073021,1372054,1355739,1856055,965150,1378588,1004733,890621,1244474,639102,764231,1443128,2325341,951832,2158528,1380016,1249635,915457,1220797,1294764,1187898,1110184,851181,977715,715735,1101721,1446445,673163.94,616004
indolepropionate,Tryptophan Metabolism,9468101,13310303,8968236,7894589,11588722,3317706,29014548,12008085,4226227,37971256,7497194,28136862,9097765,14174290,8931924,9961424,8766240,32500544,16581692,23065930,5600545,1163968,4878699,5171099,12171897,3621341,12120433,6778807,3306069,6853246,13424090,39282,9644483,10574572,11568000,4112810,2290333,11208034,4884193,27083288,4862362,13056312,7705969,12287532,9210855,21740744,10854679,10133886,19120296,2990645,19522792,23137036,9717030,8601623,16665654,2711621
3-indoxyl sulfate,Tryptophan Metabolism,8971324,19128052,9909748,19628320,12248030,28676656,20348058,27944910,13412970,7169565,46564772,12279284,20238796,29062204,22312228,16938448,32988718,28544620,15389156,14084197,16319561,14936352,26502332,40730324,23594864,21212764,11608518,6340381,24377172,18027016,25953522,50988724,21288112,20753942,15746711,16851708,14752266,24742666,17955216,14673104,44798116,18203468,20545112,24267906,14270371,23439218,31717460,16904692,43540300,14582515,27425208,44410116,14454498,33712708,21136226,5086364
kynurenine,Tryptophan Metabolism,20665650,14983486,16815028,21194704,19248296,18893074,17102440,19792248,8943032,12134936,18093152,13563014,12124275,16950972,13826044,19169124,14480819,15823100,16833646,12322132,33211252,13719778,18012400,15078386,12639047,12636729,19020854,15451652,15502889,13714441,14642641,16825902,13130704,12038051,15631973,15463172,15140060,17527676,16921576,11648820,15079145,8343810.5,14218835,17531046,15464022,12815700,13420335,11259859,17130200,10308105,11317598,11924209,18589366,13323370,16299666,24593148
kynurenate,Tryptophan Metabolism,267817,170481,118936,194434,257102,182343.98,200573,157837,84087,119378,219340,333810,149994,184880,241152,176193,121708,165421,173835,109538,100333,169621.98,171276.02,253813,97642,108567,202117.98,242087,130283,264196,104191,86571,101693,211224,185179,107657,116261,198972,166533,120385,86149,38253,136090,103916,243651,134710,109371.99,132135,192313,100663,89205.99,88785,217302.02,111666.99,144491,183426
picolinate,Tryptophan Metabolism,2879518,1798545,445333,743313,961440,1466613,1258297,1522107,937985,754333,1251470,1242689,943104,938752,1348559,913473,706173,1489855,696076,411899.97,520410,648371,1068618,1789976,492385.03,590425,368926,544505,736497,1931774,750980,623329,829458,679319,660510,977584.06,694821,550332,1154836,531883,486816.97,427112.97,862307,586848,785496,1153317,326758,815088,1635141,561167,535562,473784,945465.94,604228,794602,502091
