BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
glycine,"Glycine, Serine and Threonine Metabolism",55277092,39257780,38540984,14142913,19949016,23469500,32175124,66686500,28824660,52930488,17373024,38968348,22808216,39564720,39293164,48456328,45034012,14321167,40287544,31646788,72980240,22668304,108132344,32517592,25529604,10530306,34483380,28504016,33785528,35069680,35763192,68317072,20288454,48140904,20156472,39421992,20978102,33384772,35537140,7283080,45629624,43233868,23305652,41737896,73088192,60516352,32308348,22549550,20012466,28017396,42854072,36996220,21098664,45722412,41938408,35547664
N-acetylglycine,"Glycine, Serine and Threonine Metabolism",403436,490384,717540,,369002,563292,745663,1037488.938,525967,371571,622423,448928,204480,737672,925033,666727,681063,400217,903026,387858,695081,,2152552,437597,,436905,149247,17758932,490790,388287,1097320,655164,300653,1096826,268094,688396,216908,478409,677769,288105,1945390,873191,696370,1209750,1020049,1597984,303214,326109,364054,187433,461426,456715,393776,1184381,325947,651411
sarcosine,"Glycine, Serine and Threonine Metabolism",1847928.125,,,,,,772903,,,1016844.063,,,,,,,675939,74290,,,1166207,,717483,,,,3000534,2952206,1268418,380407,,,,668189,,648019,,592620,1537730,,2607591,,1338119,,5542007,2943532,,,,909416,,4097210,267735,763963,,
dimethylglycine,"Glycine, Serine and Threonine Metabolism",942251,1257825.875,655852,1095417,842565,1248863,1534139,942768,2174505,954031,1517783,456158,913970,1277315,7672220,1117845,1406740,1235366,1014470,1079260,1959388.875,1004269,788519,2083936,913661,1872735,3202589,5536423,1065283,1316988,985313,1582563,924827,653429,1475125,1076471,454492,1546588,1410519.875,920447,1259244,1905699,1281626,1252589.125,3203573,1111584,601917,915156,1033041,917344,942867,2045686,1094558,1106787,456303,1391660
betaine,"Glycine, Serine and Threonine Metabolism",6137286,2472321,2982335,1467708,1351008,1661295,6120362,3460704,4373770,3724121,,3810993,2214943,2253208,4100360,,6570478,8010537,2161405,3514653,4346899,3711769,3024258,2272895,3023192,3293873,4910600,16995182,4645337,2506510,7544237,6623948,3634873,3386479,3636806,3989237,8941802,4440360,3452257,3805020,12279289,3781380,5028300,3134518,21257744,12031642,,2465373,3439716,4237258,1872836,11701973,2728247,3535185,3574509,1005673
serine,"Glycine, Serine and Threonine Metabolism",133696976,78907536,82410280,39107832,43697840,59350640,48794076,123980720,80696984,126975968,42993136,75653800,52249356,62845464,60879856,85522312,111474064,37908300,67101356,81227080,140122544,66772628,168078848,74232384,68651984,28668060,83850056,74627112,74366504,58867328,75668856,128039664,55732708,91556664,50530848,65348520,57209884,72312344,71885888,23826942,86521496,65076588,47315472,70100816,74031672,117918184,70723080,51120612,46410024,82355232,77944000,77370544,40611988,76077112,82311528,74917888
N-acetylserine,"Glycine, Serine and Threonine Metabolism",2344198,4464847,2015015,626479,410849,3563323,2245812,1844810,1639347,1310702,3653406,1983367,1038942,3519800,2301204,2113396,981419,2451820,1499352,1386092,4677858,642465,4309055,1322908,944356,584076,1109255,32338902,927680,1374033,2023590,2293772,1806404,2717526,661405,1742477,766328,1131283,1614861,1857418,3685499,2303220,997279,2149752,2853935,4703890,1321507,2200183,932496,4040074,2040818,3533950,1214266,3372548,3562482,1848666
threonine,"Glycine, Serine and Threonine Metabolism",298857952,223305504,232332160,100956016,138363568,159015216,160699888,357184032,193748560,274568896,100489208,209255664,153572416,183279408,201603072,212460016,302923776,89896488,225128896,237253264,339859648,164965824,480171584,232717632,185926432,79680272,229604432,215078288,208707904,183077312,173520688,365504992,137773632,242040528,141698240,192760992,134312496,225146784,191076208,59667144,291136160,187311984,173050432,192479872,182765856,354526272,208573184,138798528,124132232,230317216,208179488,210797984,109458768,215946064,245476992,234803856
N-acetylthreonine,"Glycine, Serine and Threonine Metabolism",,573426,626268,99243,,,965576,218159.0156,,,707896,694423,371216,880514,509446,342662,,840188.9375,249646.0156,320064,899602,,1714745.875,213677.0156,,111335.0078,275624,3132459,,387720,328013,,807839,,541451,372804,,323361,395555,,1028285,187407,357476,305359,891673.9375,2640130,,360040,385323,,270749,670123,443541.0313,1101686,,
2-methylserine,"Glycine, Serine and Threonine Metabolism",822493,933913,1025642,218999,610568,793457,801842.0625,940028.9375,762635,488802,1545268,1437854.875,537109,901345,472992,1018785,547054,2347454,1666527,568250,480709,284869,739454,443482,935043,822300,745135,1479379,689432,1056791,1495447.875,628532,580866,805060,426138,324497,474417,280883,537550,218250.0156,1824211,386436.9688,1061446,374252.0313,374298,1107587,464894,690126,564464,251242,583668,788921,415866.9688,902980.9375,1072823,654788.9375
O-acetylhomoserine,"Glycine, Serine and Threonine Metabolism",333280,370876,453616.9688,87324,269848,463767,412879,754981,484801,418005,581750,689889,629471,505024.0313,634218,385937,620506,415544,245450.0156,359095,256948,307173,271391,565685,452848.0313,299767,170633,664381,221589.0156,668407,484969.0313,,206877,409544,859995,539844,238035,483757,211855,323615,689589,784631,925706.0625,513267,37908,558727,370572,402138,1155859,,347736,395958,768402,299137,,672365
alanine,Alanine and Aspartate Metabolism,302762464,227959792,219786352,111753240,129459640,143593456,210578832,316706336,178117008,247519952,132536792,205345040,145531408,237726528,236974960,241724416,246561744,122342144,225539776,185305840,312737152,128257168,394439968,196876272,185086368,191733104,209027264,277738912,175274064,221075360,187350544,318624800,209023920,227667808,135326656,246187120,143699872,190746656,195665200,108290864,269677760,239628176,160979936,256089536,226381136,341714336,184677488,151828896,139527296,196343760,254214144,202579536,126756704,272174240,224896976,188582576
N-acetylalanine,Alanine and Aspartate Metabolism,3398317.25,3757329.75,3923911.75,919061,2324700,1148756,4730498,2949656,1131665,4169571,1242608,1229389,428510.0313,9716748,1717057,5875359,4314758,3260042,1656181,3218930,5321351,773731,3253375,1477893,7665896.5,7113553,1825848,8367102,4253939,1933128,836151.0625,5489806,5063462,4319716,3127439,1836185,3913727,5101186,1269230,4096453,3722311.75,1855345.875,4605821,5137431,2201870,2448638,4525352,2015067.125,2870491,2523296,4113324.25,3633366,748081,4712913,4677514,1999472
aspartate,Alanine and Aspartate Metabolism,232512720,215878240,197696176,126832080,111778744,160115056,137729920,258562304,204758208,218202240,114952952,197808048,176663792,197079328,183253888,174118128,339825152,96789464,180427136,284846560,417138208,176162192,522275968,140956624,228271440,76855656,386726176,282667616,235048448,193480976,189606128,295921440,151455920,331892480,183379600,107956856,209313824,260423840,271604704,89230152,135156128,179933984,120842984,280877792,387856768,202978528,208769568,116680376,96059368,146085040,169659664,216355632,122502360,191830624,177421312,250374880
asparagine,Alanine and Aspartate Metabolism,186303952,48749764,9283415,3000524,3817147,7264305,10492954,91138376,7093963.5,183158848,11021369,35368088,19049340,21962612,24357188,36214368,65736344,21496592,11632403,4737141,6264172,9922449,130239704,16636009,6784540,20169112,3932366.75,73550936,7329846.5,27844280,44666352,37625036,9127218,34898120,4115279,21559456,21055004,27420512,7964762,6146739.5,4108590,20241842,4130827,4800270,27530652,65637968,2211408,4120328,3535391,26147754,6497639,5982379.5,2716186,10725217,26538604,3396995.25
N-acetylasparagine,Alanine and Aspartate Metabolism,1317031,1199052,1211106,382016,593183,4218223,1231521,1258602,1171603,1612667,461254,896871,667652,821178,1006446,912518,4750440,2108918,1099771,1346069,1053036,1944223,3328176,804513,1579967,665072,975983,572864,1645682,1369042,751798,1114704,688752,2798081,662404,1317638,1432927,733254,677017,407187,1497810,1111486,1025083,1732484,1426944,2344414,800614,1063741,712878,1428159,1669747,812301,740797,2143416,577179.9375,1337290
N-acetylaspartate (NAA),Alanine and Aspartate Metabolism,71769520,59563088,35152668,3507496,124192704,170137616,120609664,25581986,11597524,48962812,79034104,66300608,119160528,84581616,57343536,122445392,19758864,201794432,14514040,407013344,102811016,20381176,407237280,32675544,11374063,28127912,385075712,35087288,10093278,382318016,107199960,12571859,65505640,609897664,48208688,38444108,48637144,284741504,26088246,2593390,18244280,9163730,17987172,169747616,33910596,65852032,47745224,19313072,5469024,32737700,14140955,162094480,11703516,24689918,11538917,53272204
N-propionylalanine,Alanine and Aspartate Metabolism,331185,197637,73096,,561449,,113090,174098,66359,121384.0078,,,,273216,119987,446819,307262,167265,54237,345881,219507,,,,651086,618496,,182683,1063377,,,210499,340337,386699,213860,,,425252,,259940.9844,307962,,822946,234403,67825,188732,1304381,,204459,177142,,186112,,267656,248373.0156,119593.0078
3-sulfo-L-alanine,Alanine and Aspartate Metabolism,117842,202415,687153,77358,99176.9922,765481,249763,174295,34526,358396,156244,142442,143787,269688,210910,1014367,86849,36838,27707,81572,307589,25480,510369,174625,43551.0039,52786.0039,461831.0313,378704,236249,223653,268641,199098,153013,208739,186625,103775,810455,164915,166668.0156,134479,116838,121933.9922,114137,367948,211815,169637,92426,129043,60763,70882,146716,176661,55801.9961,177788,260266,237541.0156
glutamate,Glutamate Metabolism,1547467264,1054299584,1177451392,274492864,721984320,1092688512,1425070208,1648843136,714349696,1289377024,558341440,1658623232,1154476288,1464290688,963144128,1646370688,1365104512,1004113344,791890816,1738149632,1789825920,443152320,2339422720,971328960,737384960,282010176,1123596928,549480960,1033607360,861900672,1493800960,2364841728,921706496,1055345728,1282518784,1359175040,1685884544,1324518272,1622453248,317004608,1551632256,1158343552,997900416,1437612928,1332679424,1658843136,837883776,603701696,480733344,1000228608,1384574464,1559800576,1107309312,2034607488,1382845824,1808406400
glutamine,Glutamate Metabolism,260000992,153232688,125371072,78226392,78165944,102983904,96901328,222418400,163024464,232712464,82314192,103881800,94048032,115673224,114859984,136043632,242802240,69701552,105268488,138068496,251256224,132651048,329016096,133918104,133343560,53708160,121430952,137392048,122194192,98154816,140732160,261449488,95140320,144682480,93741952,130313888,103617896,124889992,99337824,54047960,162589360,94014440,95726712,129006592,143803888,220598624,110798664,79752888,96743704,114942496,115685136,119008752,59709688,159525264,126957904,123377928
N-acetylglutamate,Glutamate Metabolism,26558800,41087492,41240340,7408809.5,18244324,29570660,37610180,20235782,4931042,15518282,54644456,60243304,29751312,40860684,21200780,39600520,11144986,38853312,10581409,29608306,24180472,6328695,34572312,33421154,8436249,2929993,39461956,4728997,13692399,21047532,39682064,41325984,16419171,30054612,28503400,33003258,24092260,19840276,52512476,8834924,33631180,40370016,24509814,29023946,29419684,28287972,9804879,28791858,10173390,17628152,33524484,38787948,33127348,53390680,26654978,46612716
N-acetylglutamine,Glutamate Metabolism,4730851,2721330,6353587,2849659,2867981,3189452,7881332,4240701,3584436,2936965,4616541,4841522,6194047,10316566,5327274,3425656,7506336,5444944,3241624,7099168,4920908,2496679,7240487,1623990,7540293,1948019,1247449,1194610,3468363,6266102,7789147,12459304,4973950,7551621,3499032,6804029,3586654,5148244,3149066,4840934,6161776,1334515,11385992,3811537,5242772.5,5861524,2019875,3950786,4037279,934066,5049078,2343504,2435013.75,7011483,4839839,4316604
gamma-aminobutyrate (GABA),Glutamate Metabolism,13531229,2172898,1368149.375,993958.1875,1202609.875,1022255.688,3041571,2716213,10569142,9109792,2001610.5,2131142.5,2003559.625,3807291.5,1180056.75,4098170.75,9136503,3996379,2562215.5,5158736,,1700277,2350236.5,1043418.438,6500519,2737009.5,790038.1875,29172886,5826975,1907832.875,1098503.75,,9036243,2500813,1262891.625,1314063.5,7262264,20211608,862743,626037.875,4251150.5,,2447528,2144585.75,1776922.5,3193399,8767870,1296164.125,3564692.75,,2558912.75,5200530,1266818.625,,914931.8125,4448593
carboxyethyl-GABA,Glutamate Metabolism,11313252,15384866,8854278,936819.9375,9538316,23550936,23932656,24561766,21205614,11519407,24543204,27567124,17109624,8693792,6274180,13214388,20638644,7533449,7798892.5,20617260,9788761,11687493,12704483,12296020,25405882,10601998,4103877,844211,12449907,3010561,1949701,1896761.125,3567737,4229929,17283228,19060584,3606219,26921748,5065954,8037942,20543972,25893468,38095872,19455296,3035716,21940996,18369632,13684062,18134010,2042843,2773433,3079089.25,11468228,16532329,3454944,30390932
N-methylglutamate,Glutamate Metabolism,2155783,2897592,650038,186845,926071,1476163,1026704.063,1280853,1548138,5020507,657783,2297341,780688,1453436,407478.0313,2508613,975977.9375,1853817,576438,1853709.125,1588828,515615,876621.9375,1377084,883786,,2192648,729256,793489.0625,1395015,7310021.5,2768114,1547683,1631019,828836,3282564,2199655,3013542,5893518,1857244,1932006,1756653,1968715.125,950796,1713207.125,6302410.5,313749,690406,508943.9688,980172,1900644,8479509,806661,1520689,4516762,688244
"glutamate, gamma-methyl ester",Glutamate Metabolism,4138841,1674000,2686435,479070,2342787,2179128,2904925,2777727,1240604,2976099,840844,5129525,2495411,2576498,1468268.875,2822165,2042454,2009379,1844462,3830974,2213007,933513,1543151,2303899,1489738,532029,2384068,727877,1712885,1448245,959513,3351906,1482379,1139744,2805006,5286206,3034460,3265051,2400809,272969,3547209,2402169,3255493,1427459,1865342.875,2544413,1453235,826241,993852,2485781,1744408,3139852,2344604,3968072.25,2950635,6072004
pyroglutamine*,Glutamate Metabolism,675319,689874.0625,978697,378408,219698,408422,1017927.063,1162637,808349,673274,394988,488474,498530,810925,559472,961257,799335,319833,380380,1697917,255910.9844,387111,1015783,382453,549960,399976,515941,2773123,4293689,394274,1018577.938,1780301,685326,1238179.875,619201.9375,379491,325662,712128,512073,659083,1346863,465247,1965689,679361,27217510,617380,317950,327246,519836,246378,302708,2173142,368705.9688,886312.9375,616079.9375,339287
N-methyl-GABA,Glutamate Metabolism,1960528,4592226,,735305,37417752,5080886,18106642,3507679,1411956,1377516,3291609,1773477,2956695,1336559,1209878,5513500,8584312,1967523,,5249430,9417384,10772692,,7565842.5,647262,,,810990,5663773,,,,64675540,1601376,3822850,5044208,1302335,,11035352,,1079823,1053684,,6253727,1972579,6115527,,,3581428,,3158553,2774450,,9008144,1556461,4814276
S-1-pyrroline-5-carboxylate,Glutamate Metabolism,736719,,219984,,,743925,794535,1219159,480861,285481,417861.9688,1460146,,724982,952760.0625,976414,985478.9375,328960,632580,738218,1780171,406290.9688,1914714.125,720987,650023,,,742684,,473814,2415122,1098157,343560,1310356,978986.9375,1035160,,,1097651,,872148,951494,1212202,734328,753850,952335,748902,457422,,395882,665838,652282,,1206621,905351,678798
histidine,Histidine Metabolism,219942464,54364956,88001616,55926748,54749308,54511704,56067776,228061296,116328096,212390304,29325112,70731248,47770180,49038080,73050760,68919184,194033344,42063844,81222808,133105216,136333968,97494168,200361680,105462024,83239712,38729620,115975432,160528928,100376960,68481144,71443568,274734464,80158296,51898444,68549280,116421752,101535576,112641240,72337192,42604956,113098648,80270864,60594768,104446744,96798864,182569712,73118424,49919416,50488308,137196848,96437896,66763524,44087916,98465432,150092208,88621136
N-acetylhistidine,Histidine Metabolism,1660823,1042808,1524906.875,212532.9844,1789226,1463856,2278635,1861731,1223780,1488503,568493,1535373.125,1244428,1849836,998060,3173529,1492843,1286861,545340,1091259,164485,264058,3302979,899309,1085329,300661,592381,1823533.125,825391.0625,1468417,2818092,924662.9375,1107794,1534656,1739725.875,1479089,1754828,1232272,1344634,647836,2004545,1565029.125,1452795.125,1874744,1613834.125,2213983,633888,734774.0625,432459.9688,209303.9844,1626193,1538462,742614,2249297,2079898,2138070
1-methylhistidine,Histidine Metabolism,812153,,160508,,727855,,,92544,653704,1613477,,,,,,,2725906,,,,732387,,16839046,,366739,,,7778563,6335299,,,1497823,304251,240532.0156,,117791.0078,,,,,,,1468729,,15384488,2233247,,,,,,1326444,,169930,,
3-methylhistidine,Histidine Metabolism,2122511,293329,50821,,1419293,1357788,106163.9922,,175651,91099,,,,40018,,,151183,449402,137628,,,,,50362,,,,1527984,808516,26349,,148473,353762,142095,96686,,,332266,25249,,,,131643,,64745,133123,52868,128415,33087,298264,320830,406690,94228,,71606,230128
N-acetyl-3-methylhistidine*,Histidine Metabolism,1222971,495187.9688,,,1986339.875,3267716,448466,,,,,,101874,348885,255800,401662,106847,3868533,1059056,110767,,95258,183637,436688,604459,,,113442.9922,895284,,,,1230699,697227,329766,245650,,427349,,,375517,154557,457276,246172.9844,226839,450456,,,367830,,1408925,415893,425237,,169512,602381
N-acetyl-1-methylhistidine*,Histidine Metabolism,,,169180,161769,1541739,,142313,,441706.0313,1627041,,,211633,126779,163557,406048.0313,3668496,,172192,,333029,,2615092,,814821,94420,,463912.0313,1258710,,,3007380,,,500481.0313,207163,,,142056,,130208,,979427,,1915141,1085730,,145219,,,,258417,,588724,,111601
trans-urocanate,Histidine Metabolism,86702840,91904192,52225804,15599018,58265524,42058012,60095520,44207700,29873154,35883808,37708196,49526156,46181480,57139548,32239780,47803344,30466906,26854046,51097680,45526580,27538040,18323488,94541136,36134276,66342600,11173071,46428212,29334770,29397676,38446936,14882393,25276960,57682252,33589056,40976544,67588616,23151094,52083112,26074748,31965940,64076608,44935376,33594116,51775148,82405904,61625844,81624832,30385256,43083428,28167670,67808336,57971380,38990416,42607112,31036818,43643848
formiminoglutamate,Histidine Metabolism,5421592.5,15867074,11568390,991467,6167029,23190302,22105656,17989572,2151172,3507064,2981945,21528440,10557589,26660286,22577710,36147220,16998212,13084102,8026215,3620657,31896376,1613311.125,48223028,22353012,7151264,2304760,20607070,5687276,9642604,8928744,45784392,6208657,10180506,16708038,3370144.75,9741827,3418636,3996488,11027825,1263301,16330106,26184656,9036404,19519998,24491958,8346415,5107116,5299241.5,5153512,1829560.875,18623876,23067504,4827799,41630640,7929365.5,12362197
imidazole propionate,Histidine Metabolism,4863529,3873962.25,2106312,2782064,11009319,1403687,6634613,7333670,2382447,83850992,162927,1064155,2865483,4402795,11626259,30192968,6389423,2877492,13453398,4535929,11060263,3849536,11483868,2838069,21091700,67251312,15391943,210017760,88384216,9879329,21142582,151529296,9916649,928737,3313636,7949458,2622541,72171528,6960830,7254612,13087839,7014766,3132204,4468264,17340240,4816659,7667980.5,4834091,67802264,1575880,14742637,3833275.75,4185072,34891428,5219488,3974182
imidazole lactate,Histidine Metabolism,1055581,528354,302268,,8938446,,554167,388566,348481,3469972,320708,436087.9688,278038,277852,132947,276620,566834,576683,,821256,382747,99003.9922,393666,284886,347430,163182,308012,1855000.875,3540900,303761,462682.9688,27659156,295143,,171588,952933,458754,422954,525820,159589,624029,184013,302362,135406,5507977,971799.9375,165196,268996,,876352,288788,511995,147071,720560,389677,183081
histamine,Histidine Metabolism,7902257,1309164,,1249637,540386,71327,337142,534030,3853360,194804.9844,,67365,5190891,11082826,2924178,6993432,11366826,247093,58871,494682,2833949.75,1089218,540658,2117996,2211541,81075,773319,108435456,2764135,91445,,1207143,131741,,1597023.875,5753391,407887,1511629,,575641,398753,,4867302,2577257,301766,16810848,1476896,1055442,1402890,353913,362247,1669348,1759919,7759205,797140.0625,3779724
1-methylhistamine,Histidine Metabolism,1406481,,,,,,108175,,218376,,,,,,,247463,754151,,,,1007881,,,,230613,,345692.9688,6947169,456693,,,,306337,108141,,375890,,,151229.9844,,,,162518,,267147,820009,,,,101644.9922,,67823,,500950.9688,,
1-methylimidazoleacetate,Histidine Metabolism,707169,1363085,986799,1329431,3305362,,2695073,853556,495392,2433893,3367748,1359358,1284899,3132906,4135777,3857173,17071882,,,1076974,1947830,974041,8290884,2897012,3127747,1957566,1495735.875,2353290,2929342,3005741,2338205,1374523,1697413,3931914.75,,2052257,1117065,2774880,3698204,846104,1067662,2111495,11869324,416763,6147309,,,2822481,1590463,720515,,4317042,,1575725,950014,1642440
4-imidazoleacetate,Histidine Metabolism,2406416,2343550,273381,6951973,6234952,330606,1458312,3036981,3055863,4293129,,201544,3375357,7871565.5,,7004073,24853236,518688,471281,3992462.75,1250908,12370816,2722961,7047734,4571461,,3706628,507028,3011304,696683,1213493,1273459,231486,331786,5161851,3912522,4082264.25,5651842,203758,9057356,2812460,352530,6577427,5652850,1839194.875,7378024.5,2418391,7664004.5,9561271,739292,3906193.75,8246141.5,503027,3892488.25,3656668,3211597
N-acetylhistamine,Histidine Metabolism,33096432,9294503,,3522437,12638581,,4316971,19184882,28103728,9375646,,,8199982,26661490,4150962,16968128,27256432,177251,,17700244,20010982,1522597,21898548,11849379,14316576,,2572008,30699924,20082508,,,28155700,233798,,13223371,20468188,12781201,19584180,,3516927,23474230,,11768369,6030519,3959620.75,67303520,19913092,3565058.25,4413570,13019687,17183756,12472523,4406340,27891164,15740058,12933525
lysine,Lysine Metabolism,669860160,365540704,400717536,129582048,283016896,283266656,321627232,700779008,313262752,595257856,148378608,334934176,245975280,431652736,303048032,436558912,609632000,202138016,268074976,480008768,585270784,179421216,892656448,264624576,392248032,132955416,415837888,240320448,400563392,382388192,466102048,774263104,377081152,492753728,270366752,532851232,417107392,533063136,387082208,224422224,443262464,281837504,340062688,462070400,459297056,600454912,354295264,206396000,178791584,473123776,366613376,461996512,169969952,454878880,506044352,485451360
N2-acetyllysine,Lysine Metabolism,1158155,1623439,2517488,,2311649,1183788,2373856,2454196,1182341,2220162,952759,2021342,1276111,2384956,1589443,3334894,2386090,1208525,626465,1844459.125,1571933,402255,2277169,1495027,961010,1098646,845915,1087714,1542618,1752547,1968186.875,2547122,1253574,2048821.125,1309808,1987451.875,2276242,2080264,1723871.875,343344,1478560,1937638,1654579,2371386,1284139,1765582,1014722,876386.9375,444783,788823,1638292.875,1960910,837096.0625,2538406,3208864,2827567
N6-acetyllysine,Lysine Metabolism,625642,655780,672403,108025,385715,278228,1108212,767701,360685,314993,203813,620448,406527,758994,424658,832305,821990,536696,252371,578998,377069,158018,729412,534771,373846,522088.0313,285632,248071,548718,435772,505130,823924,396495,413988,373686,727807,917286,503010,539079,108087,511412,408742,775018,784752,515092.9688,467552,340136,306757,200115,144942,432869,577124,329019,959578,1338281,1291682
"N6,N6,N6-trimethyllysine",Lysine Metabolism,89495416,3761441,2287052,129086,2895091,3934603,3593893,7002789,2188762,7466862,526144,3598762,1756655,4159913,1379580,3659342,13176797,2764682,2355783,6869091,5931165,372398,11841663,2034121,3906153,1083793,1830664,77094928,7178313,2373746,3961237,11378888,6294174,4878100,2473847,10157046,1747605,3395599,2545447,1767186,5549051,1721740,5948520,3194451,8284247,23105970,4235847,977627,692382,28381864,4130441,10610294,1187945,6401516,3865026,9067790
5-hydroxylysine,Lysine Metabolism,864651,1015828,80426,,275180,365315,148949,66183,107556,12937507,105439,191354,338450,589993,169475,523071,883554,212358,415957,1272940,3569406,92400.9922,5739158,107241,540607,66523,158902,7398426,1919326,194847,312454,19539686,430357,1405252,411545,1798822,1062250,827805,2300411,58839,170414,,402282,314353,1585377,734559,1480550,89831,37094,763697,234771,2699254,106387,749721,2853695,2470897.25
saccharopine,Lysine Metabolism,123468,1444193,192389,262979,147395,1190341,1037268,,,,6282786,11274394,2005312.125,980897,1605037,344434,,963686,1919413,170709,,,122386.0078,729724,243200.9844,144312,1756419,,130654.9922,1174456,,,411588,1462538,600823,312476,,54759,664792,272661,,1015659.938,321460,1102554,141309,423895,184335,2614919,557174,,419229,1491828,1769324,267694,96713,491095.9688
2-aminoadipate,Lysine Metabolism,906067,806383,929042,500600,792956,1272204,897536,1048143,1201007,1345100.125,1701039,1563594,1072388,1535959,811807,2152246,1757802,312177,589105,1024322,1609124.125,2145013,1585588,990749,1000867,477742,991572,317729,1941476,851011,1649601,1642533.125,1266116,1123956,1469719,964828,1805739,1049595,1388290,2108255,1157154,742411,1454270,1033046,1197214,1787940,1344662,949013.0625,1573413,863685,1200469,2121696,982237,1273025,2139554,1290393.875
glutarate (pentanedioate),Lysine Metabolism,19327808,44124352,23388200,28326666,20069510,31834244,67931872,26389392,11709472,26721146,57606424,37569160,69347632,47223628,70261936,17720120,58826880,72548632,796680,42224748,41970264,12756203,29154484,66940112,67217544,29095956,8179522,10529859,38048424,51512408,41881564,19378160,74209792,91035248,40447792,29634684,14200427,49548108,51838520,20448836,39092308,35006360,57412876,35070920,19429024,67770528,63195972,834263,53869876,18782244,21180896,82402600,48969608,37160336,30959420,50265872
pipecolate,Lysine Metabolism,83344816,1069040128,134219456,409121696,91462616,776486528,20416504,91077064,66759448,99553968,4298717,7060908,305240096,334595552,2993264,173006496,195984496,394564096,2599707,179794544,166900752,139727424,155079152,2493431,185983904,13868646,121092536,19781776,191790080,3866376,4917650,99806840,11128218,905714944,76356896,82130992,105745816,232246240,303006496,117374112,132999400,3476352,283731648,167979056,105927008,53856728,190392336,2722445,211655648,66293644,148445392,244067136,230234144,177583280,136019456,560335552
cadaverine,Lysine Metabolism,10449762,,,,334379,391692,548520,279620,159539,,,,3651838,10164749,493322.9688,,31343164,1036043.063,,216313,308614,955233,222276.9844,528077,2015004.125,,,114354232,81642296,,,658134,891505,,3123248,8703954,,569568,342087,298346,8349177,178532,24959688,48316,,20156196,37188088,,779243,742578,847058,1113159,,8839126,,34544232
N-acetyl-cadaverine,Lysine Metabolism,53273956,615258,2757406,1137543,27639592,2923956,3841871,15363773,7425584,6400115,577183,1087013,16533103,91853560,1136979,13566219,695815360,1158863,846546,45475400,22617530,170702752,10895518,10807696,14041243,1018419.063,5161417,340462176,1313215360,878141,696165,36605080,2015447,13619167,17112592,40526936,20511468,23117180,1488274,842114,99871696,1289053,218330592,11426091,5108883,130148904,120997496,1093024,4587220,43839716,6671932,2689690,1307771,450128992,7820572.5,349540800
5-aminovalerate,Lysine Metabolism,88961168,61395672,16620379,9932236,6560986,16181969,44764120,19198608,91089856,42422980,19952078,26776416,30012648,43522088,39800368,14858900,32075870,17982276,19506270,17317340,82413112,43037384,54531328,25929294,50838292,174029824,18587052,1247078528,24989750,36765212,49385948,17522196,127495048,15900850,19509276,56302492,8764845,34377000,30940976,31815528,113294312,16838584,30796772,56711856,59365796,76106176,19837028,27998204,105075824,57446436,14804613,49511652,13765350,16548242,9007849,13637134
N6-formyllysine,Lysine Metabolism,1097581,900562,861837,590079,788755,569693,1457509,1839103,1708250,1134968,642832,1237640,543852,1329550,1143747,942110,1795786,1068115,527853,1515579,875800,411190,1613162,781862,1257806,881736,536070,860908.9375,2555640.25,724048,1850449,732622,931571,987457,936457,883174.0625,734574,1145251,1470302,1248992,1098096,1410396,2521888,1919322.125,799021,1577724,1617531,381150,651758,870505,1198937,1329258,972126,1571458,1134012,1461591
N6-carboxyethyllysine,Lysine Metabolism,62976,,131835,89715,112321,179818.0156,100462,191969,111631,73158,64668,154531,141907,221866,65042,73123,6569756,96475,67302,,,155217,168049,45282,235268,58548,87833,,1332726,84805,141694,144286,75151,165778,128521,137021,1115083,226048,125077,806674,38629,64029,316103.9688,171071.9844,228119,55880,114700,93085,97615,,93866,65134.0039,71692,161180,701798,248708
6-oxopiperidine-2-carboxylate,Lysine Metabolism,,1047744.938,306414,245343,208957,87448,415801,305465,131158,,150708,306394,248806,572984,414181,149998,186369,172721,251054,128136,379250,245500,277443,230748,251864,401920,364181,,196997,442135,364834,165161,184084,406157,182636,545547,192554,237388,254362,55974,,248827,488881,604319,275646,122674,194931,,447847,,362558,580919,362795,666697,154857,361972
phenylalanine,Phenylalanine and Tyrosine Metabolism,785465920,536618496,505733440,293131264,336053472,339634208,405876416,777978496,488932512,635373760,265858576,433361824,303631168,452780384,479388512,534268928,597698048,208434400,430448800,485696384,736174400,361788704,947478272,496312000,416650304,482024960,519312864,1415337600,408735712,440839904,468403360,703207616,420664800,483571264,292148960,468020096,384728256,458465664,422206912,296601664,554502336,475430368,313012256,585986752,485433984,647024320,375717344,311704192,317144800,545582848,515316736,393888448,246878448,565449536,518140032,435798208
