BIOCHEMICAL,SUB_PATHWAY,B141,B143,B145,B147,B149,B151,B153,B155,B157,B159,B161,B163,B165,B167,B171,B173,B175,B177,B179,B181,B101.0,B103.0,B105.0,B107.0,B109.0,B111.0,B113.0,B115.0,B117.0,B119.0,B121.0,B123.0,B127.0,B131.0,B133.0,B135.0,B137.0,B139.0,B101,B103,B105,B107,B109,B111,B113,B115,B117,B119,B121,B123,B127,B131,B133,B135,B137,B139
"2,3-dihydroxyisovalerate",Food Component/Plant,2226375,886354,784992,283977,380361.9688,123094,450709,299153,412592,1039923,469775,314482,392301,1143576,202567,301536,240859,5316074,,2064582,682812,335670,503005,153498,210256,155755,353443,1457314,288416,178019,202817,2624133,337648,427507,161852,1577504,1607986,456600,539743,279401,3417887,378597,812339,,806712,8442233,297125,,306656,2309023,935074,320741,356331,543804,311767,811725
dipicolinate,Food Component/Plant,1241097,,,1346309,,1584528,187659,,,360173,299035,882378,542429,548210,265300,244372.0156,727357,939511,430714,174415,,449728,,,163335,,268649,,384311,462085,,147174,,1959883.875,183085,3653206,298230,630958,158973,2972350,382433,289278,773384,,717640,559384,,1117526,,,,547938,474054,596638,358354,426514
"2,8-quinolinediol ",Food Component/Plant,1053343,,12964313,225969,,197036,1226316,269013,365084,5903454,122814,58652,190096,144498,216888.0156,127442,150088,22600644,553335,,,154572,163930.9844,2774508,144055,145959,478579.0313,2056865,,,,29595,212638,,828407,291152,297555,708300,,,1696915,227243,269146,375252,,6956553,,,351581,865538.9375,,,,571576,,151236
2-isopropylmalate,Food Component/Plant,25924940,2379215,2623704,,670432.0625,2326574,1900728,3043700,15027299,176786464,1417371.125,,1887737.125,3808501.25,1098542,1653953,26238658,4595602,538679,11888740,5442908,1159882,7563640,,,302216,1117459,14268700,2308278,712816,1749226.125,40201456,2043579,,1071902,3621526,134891168,2460071,2242793,519410,11710115,,,696547,6259376,30536750,674938,607023,402591,55353932,2195578,2623964,1031583,,275642848,736809.0625
2-oxindole-3-acetate,Food Component/Plant,3615350,13623266,2400299,39210220,26444614,70247328,78672784,9134140,9906240,36816144,18770812,57956560,78561880,107850784,54952792,35012912,2971712,5231322,280676,76837256,8614233,45707420,4341114,22317176,39530252,5474514,1214495,1082286,3795023.75,33934860,39279564,11961791,55925496,37300828,7723485.5,74187240,18430800,18147360,10059967,42284092,6173196,16554231,70593088,5626738,114946448,9382723,19168240,93370800,27041944,29963592,13113714,62194132,26128116,104486672,100075208,21985740
"3,5-dihydroxybenzoic acid",Food Component/Plant,,396453,249638.0156,111527,81536,74490,102925,231339,465132,,312887,96376,229580,249444,274199,,286553,,,,,104172.9922,,412952,229229,142570,,,,,373748,,,,,240015,,,90038,,108890,,330551,187706.9844,,136826,,,318691,,75125,169896,15117,117684,,148013
4-hydroxycyclohexylcarboxylic acid,Food Component/Plant,,291809,,,,,,,,,,,,,,,,119203,,978245,,,,,,,,,,,,,,,,,,,,,,,,,9081188,,,,,,,,,,,
gluconate,Food Component/Plant,2280518,406550,430457,,,1226419,498296,478898,1727345,2915454,,1113826,84281,1798925,461525.9688,284286,904094.0625,2314653,490551.0313,4096068,2686278,1436612,2881079,,111223.0078,,2358054,31337912,3038573,388927,,2327180,2464981,1674570,,4161366,1806294,904939,803288,,1749267,,355873,,5991073,3170589,3754102,291517,,3818700.25,15518778,2803693,378753,1655177,374263,
beta-guanidinopropanoate,Food Component/Plant,1297328,1179347,437609,,,,554343,531872,545132,943917.0625,,1169013,518678,768116,1260855,1484887,485566.0313,1475434,934641,2159786,944679,1754218,267665,505546,595777,353153,1044360,310475,822620,1051353,108564,569668,1304145,2235975,59735,399383.9688,509843,292140,,,431451.9688,,,,253873,1923418.875,2498107,1324728,,607985,,120794.9922,,44569,56315,
bufotenine,Food Component/Plant,,,,,,,970898,,,,,,,,,,,7113338,,70109,,,,,,,258159,,,62099,,,5577036,,,,,,1180746,,,,,,,,,,1252291,,,,,,77688,
caffeate,Food Component/Plant,731579.9375,,,,,,,,723718,,,,,,,,192895,488119,658189,5279424,,62844.9961,88499,,290237,,183582,588945,285422,50600.0039,,169633,343848,290045,1379122.125,,378729,3352952,39840,,204839,,,,442332,320369,197740,76632,,,466708.9688,977182,108385,266921,570992,
daidzein,Food Component/Plant,285309,,181286,51710,,28848,738869,25312,463482,773496,,1212259,1127279,356298,119383,239747,296698,23090,441810,253470,,78115,104178,,121627,,,480701,1533571,715908,1648577,50309,,452626,2094025,,684601,268013,,,782424,,161526,72170,,40592,321245,45335,,754797,,18568,100765,87242,,
digalacturonic acid,Food Component/Plant,84504,140675,,200130,,,,26508,63540,358134,122157,,,,,268886,20063,495050,,30545,1261704,75243,168094,,,,,,,83768,370272,195563,,703280,,,72042,,605173,,,,,113473,,,,73536,,135522,,,35137,,199618,
dihydroferulic acid,Food Component/Plant,1614471.875,770759,933871,928126,204623.0156,290110,728850.9375,2996531,1148707,2243873,438555,554054,328710,891507,579081,736589,316185,501115,356442,447055,700351,,1500058.125,502652,232089,766193,470430.0313,6801383,469012,353752,504398,1081788,784177.9375,268064,580617,973028,821554,888753,271177,731521,2313230,688395,354655,843526,4566869,1896346.875,500222,597442,575183,556920,1419357,623986,773732,2016294,742571,515017
enterolactone,Food Component/Plant,1392416,1558025,3894754.75,3001380,977348.9375,2974228,3613036.25,6900274,1400621,735346,1190177,1710724,7622492.5,3573615,6548127,646460,4026941,2896980,9068505,35237628,254309,4243374,678646,2901670,8387271,8176277.5,184219,431715,451190.9688,8085731,1789829,204349,2856907,5226045,4280640,3100319,3635303,1749428,11137454,1388790,1990284,3439797,13957257,4487805,1306219,2024685.125,4756440,1897003,2507244,1057820,15032470,13426004,3733070,2090284,9018239,3138345
equol,Food Component/Plant,,,136770,,,,,,,,,,,,,,,,,,,,,24146.002,,,,99404,,,,,,,1704685,,,,,,1389374,,181408,,,,1045783,,,,,,6719862.5,950103,,427614
ferulate,Food Component/Plant,4151300,1756931,719190,621280,327505,379518,558107,3195848.25,9938325,5848581,160170,482568,412433,2086704,285251,377785,1264854,1526515,586601,4723973,568620,363858.9688,1184779,317911,532790,494158,973264.9375,688326,1156980,723926,1461633,556215,3104365,305171,340542,898064.9375,619272,639074,230952.0156,1284728,1096576,136015,443393,371283,5675492,4850595,849292.0625,162890,,2509438,4028932,380504.0313,173060,1573696,701468,930668.9375
galacturonate,Food Component/Plant,76700864,23730118,9652281,4998144,17857388,13931784,19177066,56395808,111621152,443134912,6932549,9113036,6516859,23255972,8462649,59803104,28718834,297882112,12806284,68349776,140577088,7153056,47762848,,18254472,1624058,37384516,142883744,21292348,13532945,40183072,46178808,339272096,68288696,15499325,47716624,28373940,38921984,46520704,449452.9688,127633712,1190759,38891392,16408750,15192311,95114720,15182309,11057050,,423012064,42887260,56417936,3043313,20817548,20929770,154969
glycyrrhetinate,Food Component/Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13715590,,,,,,,,,,,,,,,,,,,,,,,,,,
hesperetin,Food Component/Plant,,,2906526,2196801,624173,,216784,,24489,,,115448,,,,,327176,29778470,,27557,,,,,,89538,,,,31548872,325644,,135731744,,,,24905550,,218167,,,,82338,,,,,2055776,,,,,,,47373,26765
